,VOO
,close
time,
2021-07-19 00:00:00-04:00,390.69
2021-07-20 00:00:00-04:00,396.24
2021-07-21 00:00:00-04:00,399.5
2021-07-22 00:00:00-04:00,400.41
2021-07-23 00:00:00-04:00,404.3
2021-07-26 00:00:00-04:00,405.35
2021-07-27 00:00:00-04:00,403.57
2021-07-28 00:00:00-04:00,403.42
2021-07-29 00:00:00-04:00,405.1
2021-07-30 00:00:00-04:00,403.12
2021-08-02 00:00:00-04:00,402.29
2021-08-03 00:00:00-04:00,405.56
2021-08-04 00:00:00-04:00,403.6
2021-08-05 00:00:00-04:00,406.13
2021-08-06 00:00:00-04:00,406.83
2021-08-09 00:00:00-04:00,406.51
2021-08-10 00:00:00-04:00,406.92
2021-08-11 00:00:00-04:00,407.96
2021-08-12 00:00:00-04:00,409.13
2021-08-13 00:00:00-04:00,409.94
2021-08-16 00:00:00-04:00,411.01
2021-08-17 00:00:00-04:00,408.25
2021-08-18 00:00:00-04:00,403.81
2021-08-19 00:00:00-04:00,404.39
2021-08-20 00:00:00-04:00,407.58
2021-08-23 00:00:00-04:00,411.2
2021-08-24 00:00:00-04:00,411.85
2021-08-25 00:00:00-04:00,412.69
2021-08-26 00:00:00-04:00,410.34
2021-08-27 00:00:00-04:00,413.9
2021-08-30 00:00:00-04:00,415.76
2021-08-31 00:00:00-04:00,415.18
2021-09-01 00:00:00-04:00,415.42
2021-09-02 00:00:00-04:00,416.68
2021-09-03 00:00:00-04:00,416.58
2021-09-07 00:00:00-04:00,415.12
2021-09-08 00:00:00-04:00,414.6
2021-09-09 00:00:00-04:00,412.76
2021-09-10 00:00:00-04:00,409.63
2021-09-13 00:00:00-04:00,410.58
2021-09-14 00:00:00-04:00,408.37
2021-09-15 00:00:00-04:00,411.79
2021-09-16 00:00:00-04:00,411.11
2021-09-17 00:00:00-04:00,407.11
2021-09-20 00:00:00-04:00,400.43
2021-09-21 00:00:00-04:00,400.0405
2021-09-22 00:00:00-04:00,403.86
2021-09-23 00:00:00-04:00,408.73
2021-09-24 00:00:00-04:00,409.46
2021-09-27 00:00:00-04:00,408.31
2021-09-28 00:00:00-04:00,400.09
2021-09-29 00:00:00-04:00,399.4
2021-09-30 00:00:00-04:00,394.54
2021-10-01 00:00:00-04:00,399.18
2021-10-04 00:00:00-04:00,394.15
2021-10-05 00:00:00-04:00,398.13
2021-10-06 00:00:00-04:00,399.86
2021-10-07 00:00:00-04:00,403.25
2021-10-08 00:00:00-04:00,402.51
2021-10-11 00:00:00-04:00,399.59
2021-10-12 00:00:00-04:00,398.68
2021-10-13 00:00:00-04:00,400.05
2021-10-14 00:00:00-04:00,406.8
2021-10-15 00:00:00-04:00,409.9
2021-10-18 00:00:00-04:00,411.22
2021-10-19 00:00:00-04:00,414.36
2021-10-20 00:00:00-04:00,415.91
2021-10-21 00:00:00-04:00,417.03
2021-10-22 00:00:00-04:00,416.62
2021-10-25 00:00:00-04:00,418.77
2021-10-26 00:00:00-04:00,419.21
2021-10-27 00:00:00-04:00,417.29
2021-10-28 00:00:00-04:00,421.315
2021-10-29 00:00:00-04:00,422.14
2021-11-01 00:00:00-04:00,423.01
2021-11-02 00:00:00-04:00,424.65
2021-11-03 00:00:00-04:00,427.2682
2021-11-04 00:00:00-04:00,429.29
2021-11-05 00:00:00-04:00,430.74
2021-11-08 00:00:00-05:00,431.18
2021-11-09 00:00:00-05:00,429.77
2021-11-10 00:00:00-05:00,426.3
2021-11-11 00:00:00-05:00,426.45
2021-11-12 00:00:00-05:00,429.6
2021-11-15 00:00:00-05:00,429.75
2021-11-16 00:00:00-05:00,431.44
2021-11-17 00:00:00-05:00,430.42
